timestamp,stockMarket,pair,side,price,liquidity
2025-05-30T12:29:19.188Z,Bybit,SOL/USDC,buy,162.4,16464.08811
2025-05-30T12:29:21.675Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:29:22.193Z,Bybit,SOL/USDC,buy,162.4,16464.08811
2025-05-30T12:29:23.187Z,Bybit,SOL/USDC,buy,162.39,16727.64708
2025-05-30T12:29:26.786Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:29:27.191Z,Bybit,SOL/USDC,buy,162.39,16838.07228
2025-05-30T12:29:32.468Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:29:35.188Z,Bybit,SOL/USDC,buy,162.41,17087.69645
2025-05-30T12:29:37.509Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:29:40.188Z,Bybit,SOL/USDC,buy,162.45,17317.8881
2025-05-30T12:29:42.947Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:29:45.297Z,Bybit,SOL/USDC,buy,162.43,18994.33808
2025-05-30T12:29:46.192Z,Bybit,SOL/USDC,buy,162.42,19028.12144
2025-05-30T12:29:48.277Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:29:51.190Z,Bybit,SOL/USDC,buy,162.42,19875.86216
2025-05-30T12:29:53.316Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:29:54.190Z,Bybit,SOL/USDC,buy,162.44,19998.6668
2025-05-30T12:29:55.188Z,Bybit,SOL/USDC,buy,162.46,20006.30242
2025-05-30T12:29:58.370Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:29:59.190Z,Bybit,SOL/USDC,buy,162.48,20018.16346
2025-05-30T12:30:00.192Z,Bybit,SOL/USDC,buy,162.47,20112.39606
2025-05-30T12:30:01.190Z,Bybit,SOL/USDC,buy,162.47,20112.39606
2025-05-30T12:30:02.189Z,Bybit,SOL/USDC,buy,162.54,1303.4694
2025-05-30T12:30:03.190Z,Bybit,SOL/USDC,buy,162.53,2093.1237
2025-05-30T12:30:03.436Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:30:05.190Z,Bybit,SOL/USDC,buy,162.56,2117.02002
2025-05-30T12:30:08.447Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:30:12.188Z,Bybit,SOL/USDC,buy,162.5,2211.27002
2025-05-30T12:30:13.459Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:30:14.189Z,Bybit,SOL/USDC,buy,162.45,6663.16217
2025-05-30T12:30:15.190Z,Bybit,SOL/USDC,buy,162.42,7497.92443
2025-05-30T12:30:17.188Z,Bybit,SOL/USDC,buy,162.44,7616.18075
2025-05-30T12:30:18.465Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:30:21.190Z,Bybit,SOL/USDC,buy,162.4,7710.37275
2025-05-30T12:30:22.189Z,Bybit,SOL/USDC,buy,162.4,7710.37275
2025-05-30T12:30:23.512Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:30:25.191Z,Bybit,SOL/USDC,buy,162.43,8129.44215
2025-05-30T12:30:28.527Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:30:30.188Z,Bybit,SOL/USDC,buy,162.43,8229.49903
2025-05-30T12:30:31.188Z,Bybit,SOL/USDC,buy,162.5,8816.11203
2025-05-30T12:30:33.789Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:30:34.190Z,Bybit,SOL/USDC,buy,162.54,9143.14251
2025-05-30T12:30:37.189Z,Bybit,SOL/USDC,buy,162.66,10289.3082
2025-05-30T12:30:38.188Z,Bybit,SOL/USDC,buy,162.69,10457.50137
2025-05-30T12:30:38.959Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:30:39.189Z,Bybit,SOL/USDC,buy,162.75,10758.20847
2025-05-30T12:30:41.189Z,Bybit,SOL/USDC,buy,162.74,10868.87167
2025-05-30T12:30:42.188Z,Bybit,SOL/USDC,buy,162.79,11174.11484
2025-05-30T12:30:44.051Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:30:45.188Z,Bybit,SOL/USDC,buy,162.75,11240.51684
2025-05-30T12:30:47.191Z,Bybit,SOL/USDC,buy,162.8,11512.05945
2025-05-30T12:30:48.190Z,Bybit,SOL/USDC,buy,162.86,11715.25543
2025-05-30T12:30:49.185Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:30:51.189Z,Bybit,SOL/USDC,buy,162.87,11956.61731
2025-05-30T12:30:52.188Z,Bybit,SOL/USDC,buy,162.87,11985.93391
2025-05-30T12:30:54.192Z,Bybit,SOL/USDC,buy,162.9,12318.41281
2025-05-30T12:30:54.193Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:30:55.190Z,Bybit,SOL/USDC,buy,162.91,12508.52878
2025-05-30T12:30:56.191Z,Bybit,SOL/USDC,buy,162.99,13807.23889
2025-05-30T12:30:58.194Z,Bybit,SOL/USDC,buy,163.08,17268.03431
2025-05-30T12:30:59.190Z,Bybit,SOL/USDC,buy,163.03,17462.04001
2025-05-30T12:30:59.218Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:31:00.202Z,Bybit,SOL/USDC,buy,162.99,18794.073
2025-05-30T12:31:01.189Z,Bybit,SOL/USDC,buy,162.96,19244.35965
2025-05-30T12:31:03.193Z,Bybit,SOL/USDC,buy,162.92,19695.4939
2025-05-30T12:31:04.195Z,Bybit,SOL/USDC,buy,162.95,19875.55365
2025-05-30T12:31:04.241Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:31:05.188Z,Bybit,SOL/USDC,buy,162.95,19977.88625
2025-05-30T12:31:08.191Z,Bybit,SOL/USDC,buy,162.9,23025.25655
2025-05-30T12:31:09.275Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:31:13.190Z,Bybit,SOL/USDC,buy,162.85,23031.282
2025-05-30T12:31:14.298Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:31:19.319Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:31:22.190Z,Bybit,SOL/USDC,buy,162.85,23031.282
2025-05-30T12:31:23.191Z,Bybit,SOL/USDC,buy,162.79,29229.28124
2025-05-30T12:31:24.345Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:31:28.196Z,Bybit,SOL/USDC,buy,162.84,29245.56524
2025-05-30T12:31:29.398Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:31:34.427Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:31:39.488Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:31:44.501Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:31:49.512Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:31:54.689Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:31:59.713Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:32:01.189Z,Bybit,SOL/USDC,buy,162.83,32051.24367
2025-05-30T12:32:05.078Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:32:08.188Z,Bybit,SOL/USDC,buy,162.86,32067.52967
2025-05-30T12:32:10.110Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:32:15.206Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:32:17.190Z,Bybit,SOL/USDC,buy,162.85,32098.95972
2025-05-30T12:32:20.420Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:32:22.187Z,Bybit,SOL/USDC,buy,162.85,32098.95972
2025-05-30T12:32:24.190Z,Bybit,SOL/USDC,buy,162.84,32115.24372
2025-05-30T12:32:25.453Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:32:27.190Z,Bybit,SOL/USDC,buy,162.95,32131.53872
2025-05-30T12:32:30.527Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:32:31.190Z,Bybit,SOL/USDC,buy,163.04,32147.84272
2025-05-30T12:32:35.547Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:32:40.578Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:32:45.692Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:32:50.724Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:32:51.190Z,Bybit,SOL/USDC,buy,162.94,32164.13672
